flag	key	speech	cps	attempts	similarity	spoken	transcript
	AbsenceTab-3	2.695	7.05	1	1	승인을 누르고 확인하면 신청이 승인됩니다.	승인을 누르고 확인하면 신청이 승인됩니다.
	AbsenceTab-4	4.627	6.05	1	1	승인된 학생의 좌석은 출석부에서 노란색 불참승인으로 바뀝니다.	승인된 학생의 좌석은 출석부에서 노란색 불참 승인으로 바뀝니다.
	AbsenceTab-5	2.196	7.28	1	1	사유가 맞지 않으면 반려를 누릅니다.	사유가 맞지 않으면 반려를 누릅니다.
	BulkApprove-0	4.979	6.23	1	0.967	오늘 이 학년의 감독교사로 배정되었다면 일괄승인 버튼을 쓸 수 있습니다.	오늘 2학년의 감독교사로 배정되었다면 일괄승인 버튼을 쓸 수 있습니다.
	BulkApprove-1	3.228	7.43	1	1	누르면 오늘 들어온 대기 신청이 표로 정리되어 나옵니다.	누르면 오늘 들어온 대기 신청이 표로 정리되어 나옵니다.
	BulkApprove-2	4.328	6.93	1	1	학생과 시간, 사유를 확인한 뒤 일괄승인을 누르면 한 번에 승인됩니다.	학생과 시간 사유를 확인한 뒤 일괄 승인을 누르면 한 번에 승인됩니다.
	SwapEntry-0	4.913	5.7	1	1	감독 날짜를 다른 선생님과 바꿔야 할 때는 감독일정 화면을 엽니다.	감독 날짜를 다른 선생님과 바꿔야 할 때는 감독 일정 화면을 엽니다.
	SwapEntry-1	8.873	5.64	1	0.979	담임이 아닌 선생님은 출석부 위쪽의 감독일정 버튼을, 담임 선생님은 담임교사 버튼을 누른 뒤 감독일정 탭을 누릅니다.	담임이 아닌 선생님은 출석부 위쪽에 감독일정 버튼을 담임선생님은 담임교사 버튼을 누른 뒤 감독일정 탭을 누릅니다.
	SwapEntry-2	6.888	6.24	1	0.923	달력에는 날짜마다 일 학년, 이 학년, 삼 학년 감독교사가 표시되고, 노란 줄이 내가 배정된 날입니다.	달력에는 날짜마다 1학년, 2학년, 3학년 감독교사가 표시되고 노란 줄이 내가 배정된 날입니다.
	SwapModal-0	3.912	6.14	1	1	오늘 이후 날짜의 줄에는 오른쪽에 교체 버튼이 있습니다.	오늘 이후 날짜의 줄에는 오른쪽에 교체 버튼이 있습니다.
	SwapModal-1	2.55	6.27	1	1	줄을 누르면 감독 교체 창이 열립니다.	줄을 누르면 감독 교체 창이 열립니다.
	SwapModal-2	5.671	6.35	1	1	교체 대상 교사 칸에 이름을 입력해 선생님을 고르고, 필요하면 교체 사유를 적습니다.	교체대상 교사 칸에 이름을 입력해 선생님을 고르고 필요하면 교체 사유를 적습니다.
	SwapModal-3	5.832	5.83	1	0.935	교체를 누르면 그날 오후 일, 오후 이, 야간 감독이 모두 새 선생님으로 바뀝니다.	교체를 누르면 그날 오후 1, 오후 2, 야간 감독이 모두 새 선생님으로 바뀝니다.
	SwapModal-4	5.903	6.1	1	1	다른 학년 소속 선생님을 고르면 확인 문구가 나오니, 확인 후 교체를 한 번 더 누릅니다.	다른 학년 소속 선생님을 고르면 확인 문구가 나오니 확인 후 교체를 한 번 더 누릅니다.
	SwapModal-5	5.543	6.31	1	1	교체 기록은 관리자에게 남으니, 바꾸기 전에 상대 선생님과 먼저 이야기해 주세요.	교체 기록은 관리자에게 남으니 바꾸기 전에 상대 선생님과 먼저 이야기해 주세요.
	SwapTotals-0	4.443	6.53	1	0.964	누계 버튼을 누르면 선생님별로 달마다 감독한 횟수를 볼 수 있습니다.	누게 버튼을 누르면 선생님별로 달마다 감독한 횟수를 볼 수 있습니다.
	SwapTotals-1	2.74	6.21	1	0.938	내 줄은 맨 위에 노란색으로 표시됩니다.	4줄은 맨 위에 노란색으로 표시됩니다.
	HomeroomTour-0	1.866	6.97	1	1	이제 담임 선생님 메뉴입니다.	이제 담임선생님 메뉴입니다.
	HomeroomTour-1	5.213	5.56	1	0.964	출석부 위쪽의 담임교사 버튼을 누르면 담임교사 페이지가 열립니다.	출석부 위쪽에 담임교사 버튼을 누르면 담임교사 페이지가 열립니다.
	HomeroomTour-2	8.089	5.56	1	0.96	탭은 학생관리, 월간출결, 참여설정, 불참사유등록, 불참신청, 감독일정, 비밀번호 일곱 개입니다.	탭은 학생관리, 월간출결, 참여설정, 불참사유 등록, 불참신청, 감독일정, 비밀번호 7개입니다.
	HomeroomTour-3	4.634	5.83	1	0.962	담임이 아닌 선생님에게는 감독일정과 비밀번호 탭만 보입니다.	담임이 아닌 선생님에게는 감독 일정과 비밀번호 템만 보입니다.
	HomeroomWeekly-0	4.322	6.48	1	1	학생관리 탭에서는 우리 반 학생들의 이번 주 출결을 한눈에 봅니다.	학생관리 탭에서는 우리 반 학생들의 이번주 출결을 한눈에 봅니다.
	HomeroomWeekly-1	6.672	5.7	1	0.912	요일마다 오후 일, 오후 이, 야간 세 칸이 있고, 화살표로 지난주와 다음 주로 이동합니다.	요일마다 오후 1, 오후 2, 야간 3칸이 있고 화살표로 지난주와 다음주로 이동합니다.
	HomeroomWeekly-2	7.896	5.45	1	0.88	오는 출석, 엑스는 무단결석, 세모는 사유결석, 방은 방과후, 회색 칸은 참여하지 않는 시간입니다.	O는 출석, X는 무당결석, 세모는 사유결석, 방은 방과 후, 회색한은 참여하지 않는 시간입니다.
	HomeroomWeekly-3	5.312	6.02	1	0.967	세모를 누르면 사유가 보이고, 주황 별표는 감독 선생님이 남긴 비고입니다.	세모를 누르면 사유가 보이고 주황별표는 감독선생님이 남긴 비교입니다.
	HomeroomWeekly-4	3.875	5.68	1	1	맨 아래 합계 줄에서 출석과 결석 인원을 확인합니다.	맨 아래 합계줄에서 출석과 결석 인원을 확인합니다.
	HomeroomMonthly-0	3.07	5.54	1	1	월간출결 탭은 한 달 전체 출결표입니다.	월간 출결 탭은 한달 전체 출결표입니다.
	HomeroomMonthly-1	6.917	6.22	1	0.861	날짜마다 오후 일, 오후 이, 야간 세 칸으로 나뉘고, 마지막 시간 열에 학생별 출석 시간이 합산됩니다.	날짜마다 오후 1, 오후 2, 야간 3칸으로 나뉘고 마지막 시간 10회 학생별 출석시간이 합산됩니다.
	HomeroomMonthly-2	6.186	5.82	1	0.971	화살표로 달을 옮기고, 엑셀 버튼을 누르면 이 달 출결표를 엑셀 파일로 내려받습니다.	화살표로 달을 옮기고 엑셀 버튼을 누르면 이달 출결표를 엑셀 파일로 내려봤습니다.
	HomeroomParticipation-0	4.436	6.54	1	1	참여설정 탭에서는 우리 반 학생이 언제 자습에 참여하는지 정합니다.	참여설정 탭에서는 우리 반학생이 언제 자습에 참여하는지 정합니다.
	HomeroomParticipation-1	6.242	6.25	1	0.944	오후 일, 오후 이, 야간마다 참가 체크박스와 월요일부터 금요일까지 요일 버튼이 있습니다.	오후 1, 오후 2, 야간마다 참가 체크박스와 월요일부터 금요일까지 요일 버튼이 있습니다.
	HomeroomParticipation-2	3.04	7.57	1	1	참가 체크를 끄면 그 시간에는 아예 참여하지 않습니다.	참가 체크를 끄면 그 시간에는 아예 참여하지 않습니다.
	HomeroomParticipation-3	4.224	6.86	1	1	요일 버튼은 파란색이 참여하는 날, 회색이 참여하지 않는 날입니다.	요일 버튼은 파란색이 참여하는 날, 회색이 참여하지 않는 날입니다.
	HomeroomParticipation-4	6.434	6.06	1	0.973	요일 버튼 아래 방과후 체크박스를 켜면, 그 요일 출석부에 노란 방과후 좌석으로 표시됩니다.	요일 버튼 아래 방과 후 체크박스를 켜면 그 요일 출석부의 노란 방과 후 좌석으로 표시됩니다.
	HomeroomParticipation-5	5.096	6.48	1	1	누르는 즉시 저장되고, 참여하지 않는 학생은 출석부에서 회색으로 보입니다.	누르는 즉시 저장되고 참여하지 않는 학생은 출석부에서 회색으로 보입니다.
	AbsenceReason-0	5.598	5.72	1	1	불참사유등록 탭에서는 담임 선생님이 학생의 결석 사유를 직접 등록합니다.	불참사유등록 탭에서는 담임선생님이 학생의 결석사유를 직접 등록합니다.
	AbsenceReason-1	5.804	5.51	1	0.929	학생과 날짜를 고르고, 오후 일, 오후 이, 야간 중 자습 시간을 선택합니다.	학생과 날짜를 고르고 오후 1, 오후 2, 야간 중 자습 시간을 선택합니다.
	AbsenceReason-2	8.275	5.8	1	0.953	사유 유형을 학원, 방과후, 질병, 기타 중에서 고르고, 필요하면 상세 사유를 적은 뒤 불참사유 등록을 누릅니다.	사유 유형을 하곤 방과 후 질병 기타 중에서 고르고 필요하면 상세 사유를 적은 뒤 불참 사유 등록을 누릅니다.
	AbsenceReason-3	6.337	6.15	1	0.973	등록한 결석은 출결표에 세모 사유결석으로 표시되고, 출석부 좌석에는 결석으로 보입니다.	등록한 결석은 출결표의 세모 사유 결석으로 표시되고 출석부 좌석에는 결석으로 보입니다.
	HomeroomRequests-0	4.403	5.91	1	1	불참신청 탭에는 우리 반 학생들이 낸 신청이 표로 정리됩니다.	불참신청 탭에는 우리 반 학생들이 낸 신청이 표로 정리됩니다.
	HomeroomRequests-1	4.115	6.81	1	1	상태별로 나눠 보고, 대기중인 신청은 승인 또는 반려를 누릅니다.	상태별로 나눠보고 대기 중인 신청은 승인 또는 반려를 누릅니다.
	HomeroomRequests-2	6.654	6.46	1	1	감독 선생님도 출석부에서 승인할 수 있으니, 이미 처리된 신청에는 처리한 선생님 이름이 표시됩니다.	감독 선생님도 출석부에서 승인할 수 있으니 이미 처리된 신청에는 처리한 선생님 이름이 표시됩니다.
	Password-0	1.851	7.56	1	1	마지막으로 비밀번호 탭입니다.	마지막으로 비밀번호 탭입니다.
	Password-1	7.605	5.65	1	1	현재 비밀번호와 새 비밀번호를 입력하고, 새 비밀번호를 한 번 더 입력한 뒤 비밀번호 변경을 누릅니다.	현재 비밀번호와 새 비밀번호를 입력하고 새 비밀번호를 한번 더 입력한 뒤 비밀번호 변경을 누릅니다.
	Password-2	6.233	5.62	1	0.848	새 비밀번호는 네 자 이상이어야 합니다. 초기 비밀번호 일일일일은 꼭 바꿔 주세요.	새 비밀번호는 4자 이상이어야 합니다. 초기 비밀번호 1111은 꼭 바꿔주세요.
	Outro-0	2.886	7.62	1	1	지금까지 교사 화면의 주요 기능을 살펴보았습니다.	지금까지 교사 화면의 주요 기능을 살펴보았습니다.
	Outro-1	4.731	6.55	1	1	궁금한 점은 화면의 물음표 버튼이나 도움말에서 언제든 다시 확인하세요.	궁금한 점은 화면의 물음표 버튼이나 도움말에서 언제든 다시 확인하세요.
