flag	key	speech	cps	attempts	similarity	spoken	transcript
	StudentExcel-5	7.099	5.49	1	1	그래서 엑셀 업로드는 학기 초 명단을 등록할 때 사용하고, 이후 변경은 한 명씩 수정해 주세요.	그래서 엑셀 업로드는 학기초 명단을 등록할 때 사용하고 이후 변경은 한 명씩 수정해주세요.
	Helper-0	3.078	6.82	1	1	표의 도우미 칸에서 학급 도우미 학생을 정합니다.	표의 도우미 칸에서 학급 도우미 학생을 정합니다.
	Helper-1	5.721	6.99	1	1	버튼을 누르면 보라색 도우미로 바뀌고 바로 저장됩니다. 한 반에 여러 명을 정할 수도 있습니다.	버튼을 누르면 보라색 도우미로 바뀌고 바로 저장됩니다. 한 반에 여러 명을 정할 수도 있습니다.
	Helper-2	8.983	5.57	1	1	도우미 학생이 다시 로그인하면 학생 화면에 일괄신청 탭이 생겨, 같은 반 친구들의 오늘 불참을 대신 신청할 수 있습니다.	도우미 학생이 다시 로그인하면 학생 화면에 일괄 신청 탭이 생겨 같은 반 친구들의 오늘 불참을 대신 신청할 수 있습니다.
	Participation-0	5.201	6.15	1	1	참여 설정 탭에서는 학생마다 어느 시간, 어느 요일에 자습하는지 정합니다.	참여설정 탭에서는 학생마다 어느 시간, 어느 요일에 자습하는지 정합니다.
	Participation-1	5.784	6.4	1	1	담임 선생님은 자기 반만 설정할 수 있지만, 학년관리자는 학년 전체 학생을 관리합니다.	담임선생님은 자기 반만 설정할 수 있지만 학년관리자는 학년 전체 학생을 관리합니다.
	Participation-2	5.248	5.72	1	0.926	참가 체크박스는 오후 일, 오후 이, 야간 시간 전체의 참여 여부입니다.	참가 체크박스는 오후 1, 오후 2, 야간시간 전체의 참여 여부입니다.
	Participation-3	5.12	6.06	1	1	요일 버튼은 파란색이면 그 요일에 참여, 회색이면 참여하지 않음입니다.	요일 버튼은 파란색이면 그 요일에 참여 회색이면 참여하지 않음입니다.
	Participation-4	4.942	6.68	1	1	방과후 체크박스를 켜면 그 요일 출석부에서 노란 방과후 좌석으로 표시됩니다.	방과후 체크박스를 켜면 그 요일 출석부에서 노란 방과후 좌석으로 표시됩니다.
	Participation-5	5.453	6.05	1	1	누르는 즉시 저장되고, 참여하지 않는 학생은 출석부에서 회색으로 보입니다.	누르는 즉시 저장되고 참여하지 않는 학생은 출석부에서 회색으로 보입니다.
	ParticipationBulk-0	2.069	7.25	1	1	반 선택으로 한 반만 볼 수 있습니다.	반 선택으로 한 반만 볼 수 있습니다.
	ParticipationBulk-1	6.234	6.26	1	1	시간 이름 아래의 체크박스를 누르면, 지금 보이는 학생들의 참가를 한꺼번에 켜거나 끕니다.	시간 이름 아래의 체크박스를 누르면 지금 보이는 학생들의 참가를 한꺼번에 켜거나 끕니다.
	ParticipationBulk-2	4.801	6.04	1	0.964	표 맨 아래 합계 줄에서 시간별 참가 인원과 요일별 인원을 확인합니다.	표면 아래 합계줄에서 시간별 참가 인원과 요일별 인원을 확인합니다.
	SeatsTour-0	6.018	6.15	1	1	좌석 배치 탭입니다. 오후 자율학습과 야간 자율학습 버튼으로 편집할 자리를 고릅니다.	좌석 배치 탭입니다. 오후 자율학습과 야간 자율학습 버튼으로 편집할 자리를 고릅니다.
	SeatsTour-1	5.305	6.41	1	1	왼쪽에는 교실 좌석, 오른쪽에는 아직 자리가 없는 미배정 학생 목록이 있습니다.	왼쪽에는 교실좌석, 오른쪽에는 아직 자리가 없는 미배정 학생목록이 있습니다.
	SeatsTour-2	4.387	5.47	1	1	위쪽에는 교실 구조 설정, 출력, 저장 버튼이 있습니다.	위쪽에는 교실 구조 설정, 출력, 저장 버튼이 있습니다.
	ClassroomConfig-0	5.79	5.87	1	1	오후 자율학습에서는 교실 구조 설정 버튼으로 학급 교실의 책상 배치를 정합니다.	오후 자율학습에서는 교실 구조 설정 버튼으로 학급 교실의 책상 배치를 정합니다.
	ClassroomConfig-1	3.603	6.11	1	1	학급 추가를 누르고 반 번호와 복도 위치를 고릅니다.	학급 추가를 누르고 반번호와 복도 위치를 고릅니다.
	ClassroomConfig-2	5.645	5.85	1	0.938	배치 유형은 두 명씩 짝으로 앉는 분단형과 한 명씩 앉는 단독형 중에서 고릅니다.	배치 유형은 2명씩 짝으로 앉는 분단형과 1명씩 앉는 단독형 중에서 고릅니다.
	ClassroomConfig-3	8.139	5.65	1	1	분단 개수와 분단마다 행 수를 입력하면 미리보기에 책상 모양과 총 좌석 수가 나옵니다. 아래쪽이 칠판입니다.	분단 개수와 분단마다 행수를 입력하면 미리 보기에 책상 모양과 총 좌석 수가 나옵니다. 아래쪽이 칠판입니다.
	ClassroomConfig-4	3.279	5.79	1	1	저장하면 좌석 편집 화면에 교실이 생깁니다.	저장하면 좌석 편집 화면에 교실이 생깁니다.
	ClassroomConfig-5	6.739	6.23	1	1	이미 학생이 배정된 교실의 책상 구조를 바꾸면 그 반 좌석이 초기화된다는 경고가 나오니 주의하세요.	이미 학생이 배정된 교실의 책상 구조를 바꾸면 그 반 좌석이 초기화된다는 경고가 나오니 주의하세요.
	SeatAssign-0	4.367	6.87	1	1	미배정 학생 목록에는 참여 설정에서 참가로 되어 있는 학생만 나옵니다.	미배정 학생 목록에는 참여 설정에서 참가로 되어 있는 학생만 나옵니다.
	SeatAssign-1	5.789	6.22	1	0.941	오후는 오후 일이나 오후 이 중 하나라도 참가하는 학생, 야간은 야간 참가 학생입니다.	오후는 오후 1이나 오후 2 중 하나라도 참가하는 학생, 야간은 야간 참가 학생입니다.
	SeatAssign-2	3.944	7.1	1	1	목록은 반별로 묶여 있고, 이름이나 반 번호로 검색할 수 있습니다.	목록은 반별로 묶여있고 이름이나 반번호로 검색할 수 있습니다.
	SeatAssign-3	3.2	7.5	1	1	학생을 끌어다 원하는 좌석에 놓으면 자리가 배정됩니다.	학생을 끌어다 원하는 좌석에 놓으면 자리가 배정됩니다.
	SeatEdit-0	4.414	6.34	1	1	배정된 학생을 다른 좌석으로 끌면 두 학생의 자리가 서로 바뀝니다.	배정된 학생을 다른 좌석으로 끌면 두 학생의 자리가 서로 바뀝니다.
	SeatEdit-1	5.907	6.43	1	1	자리를 빼려면 좌석을 미배정 목록으로 끌어오거나, 좌석을 누른 뒤 배정 해제를 누릅니다.	자리를 빼려면 좌석을 미배정 목록으로 끌어오거나 좌석을 누른 뒤 배정해제를 누릅니다.
	SeatEdit-2	5.588	6.08	1	1	바꾼 내용은 저장을 눌러야 반영됩니다. 저장 버튼에 바뀐 교실 수가 표시됩니다.	바꾼 내용은 저장을 눌러야 반영됩니다. 저장 버튼에 바뀐 교실수가 표시됩니다.
	SeatPrint-0	4.388	6.38	1	0.926	출력 버튼을 누르면 새 탭에 좌석배치도 인쇄 미리보기가 열립니다.	출력 버튼을 누르면 새 탭의 좌석 배치도 인쇄 비리보기가 열립니다.
	SeatPrint-1	3.897	7.19	1	1	인쇄할 학급을 체크하고, 학급마다 가로와 세로 방향을 고릅니다.	인쇄할 학급을 체크하고 학급마다 가로와 세로 방향을 고릅니다.
	SeatPrint-2	4.742	5.9	1	0.906	인쇄를 누르면 학급마다 에이포 한 장씩 좌석배치도가 출력됩니다.	인쇄를 누르면 학급마다 A4 한 장씩 좌석 배치도가 출력됩니다.
	SeatPrint-3	3.674	6.26	1	1	저장한 배치만 인쇄되니, 출력 전에 꼭 저장해 주세요.	저장한 배치만 인쇄되니 출력 전에 꼭 저장해 주세요.
	SupervisorAssign-0	2.176	6.43	1	1	감독 배정 탭은 한 달 달력입니다.	감독 배정 탭은 한 달 달력입니다.
	SupervisorAssign-1	7.671	5.87	1	1	날짜 칸을 누르고 선생님 이름을 입력해 고르면 바로 배정됩니다. 우리 학년 선생님이 목록 위쪽에 나옵니다.	날짜 칸을 누르고 선생님 이름을 입력해 고르면 바로 배정됩니다. 우리 학년 선생님이 목록 위쪽에 나옵니다.
	SupervisorAssign-2	5.804	6.03	1	0.954	한 번 배정하면 그날 오후 일, 오후 이, 야간 감독이 모두 그 선생님으로 정해집니다.	한번 배정하면 그날 오후 2일 오후 2 야간 감독이 모두 그 선생님으로 정해집니다.
	SupervisorAssign-3	2.069	7.73	1	1	배정을 지우려면 미배정을 고릅니다.	배정을 지우려면 미배정을 고릅니다.
	SupervisorAssign-4	4.839	6.41	1	0.968	배정한 뒤 날짜 교체는 각 선생님이 감독일정 화면에서 직접 할 수 있습니다.	배정한 뒤의 날짜와 교체는 각 선생님이 감독 일정 화면에서 직접 할 수 있습니다.
	SupervisorTotals-0	4.793	7.09	1	1	누계 버튼을 누르면 우리 학년 선생님들의 월별 감독 횟수와 총계를 볼 수 있습니다.	누계 버튼을 누르면 우리 학년 선생님들의 월별 감독 횟수와 총계를 볼 수 있습니다.
	SupervisorTotals-1	5.823	6.18	1	0.971	엑셀 버튼을 누르면 이 달 감독 배정표와 누계 시트가 함께 든 엑셀 파일을 내려받습니다.	엑셀 버튼을 누르면 이달 감독, 배정표와 누계시트가 함께 든 엑셀 파일을 내려봤습니다.
	Monthly-0	4.222	6.16	1	1	월간출결 탭에서는 학년 전체 학생의 한 달 출결을 점검합니다.	월간출결 탭에서는 학년 전체 학생의 한 달 출결을 점검합니다.
	Monthly-1	8.799	5.57	1	0.864	날짜마다 오후 일, 오후 이, 야간 세 칸이 있고, 범례를 펼치면 오, 엑스, 세모, 방, 회색 칸의 뜻을 볼 수 있습니다.	날짜마다 오후 1, 오후 2, 야간 3칸이 있고 범례를 펼치면 O, X, 세모, 방, 회색 칸의 뜻을 볼 수 있습니다.
	Monthly-2	3.395	6.48	1	0.952	마지막 시간 열에는 학생별 출석 시간이 합산됩니다.	마지막 시간 열해는 학생별 출석시간이 합산됩니다.
	Monthly-3	4.522	7.08	1	0.967	화살표로 달을 옮기고, 엑셀 버튼으로 학년 월간출결 파일을 내려받습니다.	화살표로 달을 옮기고 엑셀 버튼으로 학년 월간 출결 파일을 내려봤습니다.
	Outro-0	7.453	5.5	1	1	학기 초에는 명단 등록, 도우미 지정, 참여 설정, 좌석 배치, 감독 배정 순서로 준비하면 됩니다.	학기 초에는 명단 등록, 도우미 지정, 참여 설정, 좌석 배치, 감독 배정 순서로 준비하면 됩니다.
	Outro-1	4.179	6.7	1	1	궁금한 점은 화면의 물음표 버튼이나 도움말에서 다시 확인하세요.	궁금한 점은 화면의 물음표 버튼이나 도움말에서 다시 확인하세요.
